kd_pertanyaan,pertanyaan
35,Saya berusaha dengan sungguh-sungguh mengikuti matakuliah ini.
37,Saya memperoleh pengalaman belajar yang positif dalam matakuliah ini.
21,Saya memperoleh informasi yang cukup tentang hal-hal tertentu yang harus saya capai atau kuasai (luaran matakuliah) sesudah mengikuti matakuliah ini.
22,Pelaksanaan perkuliahan diarahkan agar mahasiswa dapat mencapai atau menguasai luaran matakuliah ini.
23,Saya mencapai atau menguasai luaran matakuliah ini.
24,Pelaksanaan perkuliahan terorganisir dengan baik.
25,Dosen berkomunikasi dengan efektif.
26,Dosen peduli terhadap pencapaian atau penguasaan mahasiswa akan luaran matakuliah ini.
27,Dosen berlaku adil (fair) kepada mahasiswa.
28,Beban kerja untuk matakuliah ini sesuai dengan SKS-nya.
29,Sarana prasarana untuk matakuliah tersedia dengan memadai.
30,Tersedia cukup fasilitas pendukung di luar kuliah yang memungkinkan saya mengikuti matakuliah ini dengan baik.
103,Apa saran Anda untuk meningkatkan pelaksanaan mata kuliah ini?
129,Sejak awal dijelaskan tujuan kuliah dan rencana materi kuliah
130,Dosen menguasai materi dengan baik dan memiliki wawasan pengetahuan yang luas terkait materi kuliah
131,Dosen memberikan kuliah sesuai silabus dan SAP
132,"Dosen selalu hadir pada jam kuliah yang direncanakan, atau apabila ada perubahan, dilakukan sesuai kesepakatan dengan mahasiswa"
133,Dosen bersikap responsif dan bersedia berdiskusi
134,Dosen memberikan banyak gambaran tentang aplikasi keilmuan di dunia kerja
135,Dosen memberikan banyak kesempatan bertanya dan berdiskusi
136,"Dosen memberikan tugas mandiri (presentasi, telaah buku teks atau artikel) yang bersifat interaktif dan menantang"
137,Dosen memberikan umpan balik mengenai hasil ujian dan tugas
138,"Pustaka berupa jurnal, buku teks dan informasi ilmiah lainnya yang menjadi acuan dapat diperoleh dan diakses dengan mudah"
139,"Pada matakuliah ini, nilai diperoleh dari evaluasi yang dilakukan lebih dari satu kali"
140,"Secara umum, materi kuliah dapat dipahami dengan baik"
141,Proses pembelajaran dalam matakuliah ini meningkatkan kemampuan saya untuk bekerja mandiri maupun berkelompok
142,Proses pembelajaran dalam matakuliah ini meningkatkan kemampuan saya dalam mengkomunikasikan pemikiran secara lisan maupun tertulis
143,Materi kuliah yang saya dapatkan sesuai dengan harapan saya
144,"Setelah mengikuti matakuliah ini, saya memperoleh tambahan pengetahuan yang signifikan terkait dengan program studi yang saya ikuti"
145,Suasana akademik di dalam kelas menunjang perkuliahan
149,Pertanyaan khusus Praktikum: Terdapat hubungan yang jelas dan runut antara praktikum dan perkuliahan
146,Pertanyaan khusus Praktikum/proyek: Praktikum dilaksanakan sesuai dengan SKS dan beban kerja yang ditetapkan
147,Pertanyaan khusus Praktikum/proyek: Dosen dan asisten praktikum mendampingi dengan baik dalam kerja mandiri saat praktikum
148,Pertanyaan khusus Praktikum/proyek: Asisten praktikum berkompeten di bidangnya
128,Matakuliah ini dirancang sesuai dengan tujuan program studi dan perkembangan ilmu pengetahuan dan kebutuhan masyarakat
152,"Untuk mata kuliah ini, rata-rata per minggu saya belajar di luar pertemuan kelas sebanyak:"
